Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min,Evap,Solar,ETo,RH max,min
SANJOSE.C,20000426,1600,0,,83,50,82,,,,,,,,,,,,
SANJOSE.C,20000427,1600,0,,83,50,61,,,,,,,,,,,,
SANJOSE.C,20000428,1600,0,,65,50,63,,,,,,,,,,,,
SANJOSE.C,20000429,2359,0,,71,43,,,,,,,,,,,,,
SANJOSE.C,20000430,2359,0,,76,46,,,,,,,,,,,,,
SANJOSE.C,20000501,1600,0,,80,45,73,,,,,,,,,,,,
SANJOSE.C,20000502,1600,0,,75,59,74,,,,,,,,,,,,
SANJOSE.C,20000503,1600,0,,76,53,74,,,,,,,,,,,,
SANJOSE.C,20000504,1600,0,,76,53,69,,,,,,,,,,,,
SANJOSE.C,20000505,1600,0,,70,54,68,,,,,,,,,,,,
SANJOSE.C,20000506,2359,0,,62,45,,,,,,,,,,,,,
SANJOSE.C,20000507,2359,0,,64,53,,,,,,,,,,,,,
SANJOSE.C,20000508,1600,0.09,,72,47,70,,,,,,,,,,,,
SANJOSE.C,20000509,1600,0,,71,56,68,,,,,,,,,,,,
SANJOSE.C,20000510,1600,0,,71,52,62,,,,,,,,,,,,
SANJOSE.C,20000511,1600,0,,68,49,67,,,,,,,,,,,,
SANJOSE.C,20000512,1600,0,,71,45,69,,,,,,,,,,,,
SANJOSE.C,20000513,2359,0,,67,48,,,,,,,,,,,,,
SANJOSE.C,20000514,2359,0,,64,50,,,,,,,,,,,,,
SANJOSE.C,20000515,1600,0.17,,70,50,59,,,,,,,,,,,,
SANJOSE.C,20000516,1600,0.13,,70,50,60,,,,,,,,,,,,
SANJOSE.C,20000517,1600,0.01,,74,55,73,,,,,,,,,,,,
SANJOSE.C,20000518,1600,0,,84,53,79,,,,,,,,,,,,
SANJOSE.C,20000519,1600,0,,87,55,85,,,,,,,,,,,,
SANJOSE.C,20000520,2359,0,,87,55,,,,,,,,,,,,,
SANJOSE.C,20000521,2359,0,,97,58,,,,,,,,,,,,,
SANJOSE.C,20000522,1600,0,,96,59,89,,,,,,,,,,,,
SANJOSE.C,20000523,1600,0,,90,65,83,,,,,,,,,,,,
SANJOSE.C,20000524,1600,0,,84,61,78,,,,,,,,,,,,
SANJOSE.C,20000525,1600,0,,79,55,72,,,,,,,,,,,,
SANJOSE.C,20000526,1600,0,,75,55,74,,,,,,,,,,,,
SANJOSE.C,20000527,2359,0,,74,57,,,,,,,,,,,,,
SANJOSE.C,20000528,2359,0,,78,57,,,,,,,,,,,,,
SANJOSE.C,20000529,2359,0,,71,51,,,,,,,,,,,,,
SANJOSE.C,20000530,1600,0,,81,52,72,,,,,,,,,,,,
SANJOSE.C,20000531,1600,0,,83,51,82,,,,,,,,,,,,
SANJOSE.C,20000601,1600,0,,90,51,88,,,,,,,,,,,,
SANJOSE.C,20000602,1600,0,,89,56,73,,,,,,,,,,,,
SANJOSE.C,20000603,2359,0,,71,54,,,,,,,,,,,,,
SANJOSE.C,20000604,2359,0,,70,54,,,,,,,,,,,,,
SANJOSE.C,20000605,1600,0,,76,55,74,,,,,,,,,,,,
SANJOSE.C,20000606,1600,0,,76,53,74,,,,,,,,,,,,
SANJOSE.C,20000607,1600,0,,76,53,72,,,,,,,,,,,,
SANJOSE.C,20000608,1600,0.29,,73,54,63,,,,,,,,,,,,
SANJOSE.C,20000609,1600,0.01,,71,53,69,,,,,,,,,,,,
SANJOSE.C,20000610,2359,0,,70,51,,,,,,,,,,,,,
SANJOSE.C,20000611,2359,0,,74,49,,,,,,,,,,,,,
SANJOSE.C,20000612,1600,0,,82,51,80,,,,,,,,,,,,
SANJOSE.C,20000613,1600,0,,100,60,100,,,,,,,,,,,,
SANJOSE.C,20000614,1600,0,,109,71,108,,,,,,,,,,,,
SANJOSE.C,20000615,1600,0,,108,72,87,,,,,,,,,,,,
SANJOSE.C,20000616,1600,0,,89,60,81,,,,,,,,,,,,
SANJOSE.C,20000617,1600,0,,82,59,59,,,,,,,,,,,,
SANJOSE.C,20000618,2359,0,,78,60,,,,,,,,,,,,,
SANJOSE.C,20000619,1600,0,,88,59,83,,,,,,,,,,,,
SANJOSE.C,20000620,1600,0,,90,59,88,,,,,,,,,,,,
SANJOSE.C,20000621,1600,0,,90,62,88,,,,,,,,,,,,
SANJOSE.C,20000622,1600,0,,88,59,75,,,,,,,,,,,,
SANJOSE.C,20000623,1600,0,,83,55,76,,,,,,,,,,,,
SANJOSE.C,20000624,2359,0,,76,55,,,,,,,,,,,,,
SANJOSE.C,20000625,2359,0,,79,60,,,,,,,,,,,,,
SANJOSE.C,20000626,1600,0,,88,56,86,,,,,,,,,,,,
SANJOSE.C,20000627,1600,0,,88,56,87,,,,,,,,,,,,
SANJOSE.C,20000628,1600,0,,87,60,80,,,,,,,,,,,,
SANJOSE.C,20000629,1600,0,,82,59,77,,,,,,,,,,,,
SANJOSE.C,20000630,1600,0,,77,59,72,,,,,,,,,,,,
SANJOSE.C,20000701,2359,0,,73,55,,,,,,,,,,,,,
SANJOSE.C,20000702,2359,0,,70,53,,,,,,,,,,,,,
SANJOSE.C,20000703,1600,0,,74,56,71,,,,,,,,,,,,
SANJOSE.C,20000704,2359,0,,75,52,,,,,,,,,,,,,
SANJOSE.C,20000705,1600,0,,79,53,72,,,,,,,,,,,,
SANJOSE.C,20000706,1600,0,,73,55,70,,,,,,,,,,,,
SANJOSE.C,20000707,1600,0,,74,54,73,,,,,,,,,,,,
SANJOSE.C,20000708,2359,0,,76,54,,,,,,,,,,,,,
SANJOSE.C,20000709,2359,0,,79,55,,,,,,,,,,,,,
SANJOSE.C,20000710,1600,0,,85,54,78,,,,,,,,,,,,
SANJOSE.C,20000711,1600,0,,83,57,79,,,,,,,,,,,,
SANJOSE.C,20000712,1600,0,,80,58,78,,,,,,,,,,,,
SANJOSE.C,20000713,1600,0,,78,57,75,,,,,,,,,,,,
SANJOSE.C,20000714,1600,0,,82,57,81,,,,,,,,,,,,
SANJOSE.C,20000715,2359,0,,74,54,,,,,,,,,,,,,
SANJOSE.C,20000716,2359,0,,70,59,,,,,,,,,,,,,
SANJOSE.C,20000717,1600,0,,83,57,72,,,,,,,,,,,,
SANJOSE.C,20000718,1600,0,,82,55,81,,,,,,,,,,,,
SANJOSE.C,20000719,1600,0,,82,57,79,,,,,,,,,,,,
SANJOSE.C,20000720,1600,0,,81,56,77,,,,,,,,,,,,
SANJOSE.C,20000721,1600,0,,77,57,73,,,,,,,,,,,,
SANJOSE.C,20000722,1600,0,,79,57,78,,,,,,,,,,,,
SANJOSE.C,20000723,1600,0,,89,56,88,,,,,,,,,,,,
SANJOSE.C,20000724,1600,0,,90,59,87,,,,,,,,,,,,
SANJOSE.C,20000725,1600,0,,88,56,82,,,,,,,,,,,,
SANJOSE.C,20000726,1600,0,,83,58,76,,,,,,,,,,,,
SANJOSE.C,20000727,1600,0,,81,56,80,,,,,,,,,,,,
SANJOSE.C,20000728,1600,0,,83,57,82,,,,,,,,,,,,
SANJOSE.C,20000729,1600,0,,88,58,88,,,,,,,,,,,,
SANJOSE.C,20000730,1600,0,,89,58,89,,,,,,,,,,,,
SANJOSE.C,20000731,1600,0,,93,58,92,,,,,,,,,,,,
SANJOSE.C,20000801,1600,0,,93,58,92,,,,,,,,,,,,
SANJOSE.C,20000802,1600,0,,92,66,90,,,,,,,,,,,,
SANJOSE.C,20000803,1600,0,,94,68,89,,,,,,,,,,,,
SANJOSE.C,20000804,1600,0,,90,62,87,,,,,,,,,,,,
SANJOSE.C,20000805,1600,0,,87,60,79,,,,,,,,,,,,
SANJOSE.C,20000806,1600,0,,82,58,79,,,,,,,,,,,,
SANJOSE.C,20000807,1600,0,,79,58,75,,,,,,,,,,,,
SANJOSE.C,20000808,1600,0,,78,62,74,,,,,,,,,,,,
SANJOSE.C,20000809,1600,0,,79,61,76,,,,,,,,,,,,
SANJOSE.C,20000810,1600,0,,78,60,76,,,,,,,,,,,,
SANJOSE.C,20000811,1600,0,,90,54,89,,,,,,,,,,,,
SANJOSE.C,20000812,1600,0,,90,60,87,,,,,,,,,,,,
SANJOSE.C,20000813,1600,0,,90,56,86,,,,,,,,,,,,
SANJOSE.C,20000814,1600,0,,90,58,89,,,,,,,,,,,,
SANJOSE.C,20000815,1600,0,,89,57,87,,,,,,,,,,,,
SANJOSE.C,20000816,1600,0,,93,58,93,,,,,,,,,,,,
SANJOSE.C,20000817,1600,0,,93,59,85,,,,,,,,,,,,
SANJOSE.C,20000818,1600,0,,85,55,77,,,,,,,,,,,,
SANJOSE.C,20000819,1600,0,,79,57,74,,,,,,,,,,,,
SANJOSE.C,20000820,2359,0,,79,49,,,,,,,,,,,,,
SANJOSE.C,20000821,1600,0,,86,54,82,,,,,,,,,,,,
SANJOSE.C,20000822,1600,0,,82,56,78,,,,,,,,,,,,
SANJOSE.C,20000823,1600,0,,79,57,74,,,,,,,,,,,,
SANJOSE.C,20000824,1600,0,,86,60,85,,,,,,,,,,,,
SANJOSE.C,20000825,1600,0,,89,60,86,,,,,,,,,,,,
SANJOSE.C,20000826,1600,0,,86,57,77,,,,,,,,,,,,
SANJOSE.C,20000827,1600,0,,84,55,80,,,,,,,,,,,,
SANJOSE.C,20000828,1600,0,,82,57,78,,,,,,,,,,,,
SANJOSE.C,20000829,1600,0,,69,59,66,,,,,,,,,,,,
SANJOSE.C,20000830,1600,0.01,,74,59,73,,,,,,,,,,,,
SANJOSE.C,20000831,1600,0,,76,61,72,,,,,,,,,,,,
SANJOSE.C,20000901,1600,0.06,,72,59,63,,,,,,,,,,,,
SANJOSE.C,20000902,1600,0.03,,74,58,71,,,,,,,,,,,,
SANJOSE.C,20000903,1600,0,,75,51,72,,,,,,,,,,,,
SANJOSE.C,20000904,1600,0,,74,52,73,,,,,,,,,,,,
SANJOSE.C,20000905,1600,0,,80,52,79,,,,,,,,,,,,
SANJOSE.C,20000906,1600,0,,87,54,87,,,,,,,,,,,,
SANJOSE.C,20000907,1600,0,,94,56,93,,,,,,,,,,,,
SANJOSE.C,20000908,1600,0,,93,58,80,,,,,,,,,,,,
SANJOSE.C,20000909,1600,0,,81,54,76,,,,,,,,,,,,
SANJOSE.C,20000910,1600,0,,83,53,78,,,,,,,,,,,,
SANJOSE.C,20000911,1600,0,,87,53,85,,,,,,,,,,,,
SANJOSE.C,20000912,1600,0,,87,57,82,,,,,,,,,,,,
SANJOSE.C,20000913,1600,0,,89,65,84,,,,,,,,,,,,
SANJOSE.C,20000914,1600,0,,84,70,76,,,,,,,,,,,,
SANJOSE.C,20000915,1600,0,,76,60,74,,,,,,,,,,,,
SANJOSE.C,20000916,1600,0,,80,62,79,,,,,,,,,,,,
SANJOSE.C,20000917,1600,0,,95,59,93,,,,,,,,,,,,
SANJOSE.C,20000918,1600,0,,99,63,96,,,,,,,,,,,,
SANJOSE.C,20000919,1600,0,,99,65,97,,,,,,,,,,,,
SANJOSE.C,20000920,1600,0,,97,67,85,,,,,,,,,,,,
SANJOSE.C,20000921,1600,0,,77,61,73,,,,,,,,,,,,
SANJOSE.C,20000922,1600,0.03,,73,61,72,,,,,,,,,,,,
SANJOSE.C,20000923,1600,0,,78,55,77,,,,,,,,,,,,
SANJOSE.C,20000924,1600,0,,83,50,82,,,,,,,,,,,,
SANJOSE.C,20000925,1600,0,,85,57,84,,,,,,,,,,,,
SANJOSE.C,20000926,1600,0,,84,58,75,,,,,,,,,,,,
SANJOSE.C,20000927,1600,0,,76,60,73,,,,,,,,,,,,
SANJOSE.C,20000928,1600,0,,73,60,65,,,,,,,,,,,,
SANJOSE.C,20000929,1600,0,,83,53,82,,,,,,,,,,,,
SANJOSE.C,20000930,1600,0,,89,57,89,,,,,,,,,,,,
SANJOSE.C,20001001,1600,0,,90,61,79,,,,,,,,,,,,
SANJOSE.C,20001002,1600,0,,79,59,73,,,,,,,,,,,,
SANJOSE.C,20001003,1600,0,,76,55,73,,,,,,,,,,,,
SANJOSE.C,20001004,1600,0,,73,55,71,,,,,,,,,,,,
SANJOSE.C,20001005,1600,0,,73,55,72,,,,,,,,,,,,
SANJOSE.C,20001006,1600,0,,73,58,69,,,,,,,,,,,,
SANJOSE.C,20001007,1600,0,,71,59,69,,,,,,,,,,,,
SANJOSE.C,20001008,1600,0,,75,59,72,,,,,,,,,,,,
SANJOSE.C,20001009,2359,0,,79,54,,,,,,,,,,,,,
SANJOSE.C,20001010,1600,0.42,,69,54,61,,,,,,,,,,,,
SANJOSE.C,20001011,1600,0.08,,66,53,58,,,,,,,,,,,,
SANJOSE.C,20001012,1600,0,,68,51,67,,,,,,,,,,,,
SANJOSE.C,20001013,1600,0,,71,49,71,,,,,,,,,,,,
SANJOSE.C,20001014,1600,0,,72,49,68,,,,,,,,,,,,
SANJOSE.C,20001015,2359,0,,72,52,,,,,,,,,,,,,
SANJOSE.C,20001016,1600,0,,78,50,77,,,,,,,,,,,,
SANJOSE.C,20001017,1600,0,,78,53,75,,,,,,,,,,,,
SANJOSE.C,20001018,1600,0,,75,54,71,,,,,,,,,,,,
SANJOSE.C,20001019,1600,0,,76,59,75,,,,,,,,,,,,
SANJOSE.C,20001020,1600,0,,75,55,66,,,,,,,,,,,,
SANJOSE.C,20001021,1600,0,,69,53,60,,,,,,,,,,,,
SANJOSE.C,20001022,2359,0,,74,54,,,,,,,,,,,,,
SANJOSE.C,20001023,2359,0,,77,43,77,,,,,,,,,,,,
SANJOSE.C,20001024,1600,0,,79,54,74,,,,,,,,,,,,
SANJOSE.C,20001025,1600,0.03,,75,57,64,,,,,,,,,,,,
SANJOSE.C,20001026,1600,0.44,,64,54,60,,,,,,,,,,,,
SANJOSE.C,20001027,1600,0.33,,64,54,64,,,,,,,,,,,,
SANJOSE.C,20001028,1600,0,,65,50,61,,,,,,,,,,,,
SANJOSE.C,20001029,1600,0.43,,62,57,60,,,,,,,,,,,,
SANJOSE.C,20001030,1600,0.42,,61,50,56,,,,,,,,,,,,
SANJOSE.C,20001031,1600,0.01,,66,45,65,,,,,,,,,,,,
SANJOSE.C,20001101,1600,0,,67,45,62,,,,,,,,,,,,
SANJOSE.C,20001102,1600,0,,69,47,68,,,,,,,,,,,,
SANJOSE.C,20001103,1600,0,,73,48,72,,,,,,,,,,,,
SANJOSE.C,20001104,1600,0,,72,48,65,,,,,,,,,,,,
SANJOSE.C,20001105,1600,0,,68,48,64,,,,,,,,,,,,
SANJOSE.C,20001106,1600,0,,67,48,65,,,,,,,,,,,,
SANJOSE.C,20001107,1600,0,,70,49,68,,,,,,,,,,,,
SANJOSE.C,20001108,1600,0,,68,48,61,,,,,,,,,,,,
SANJOSE.C,20001109,1600,0,,61,48,56,,,,,,,,,,,,
SANJOSE.C,20001110,2359,0,,56,41,,,,,,,,,,,,,
SANJOSE.C,20001111,1600,0,,56,38,55,,,,,,,,,,,,
SANJOSE.C,20001112,1600,0,,58,36,58,,,,,,,,,,,,
SANJOSE.C,20001113,1600,0.07,,58,36,50,,,,,,,,,,,,
SANJOSE.C,20001114,1600,0.04,,58,38,54,,,,,,,,,,,,
SANJOSE.C,20001115,1600,0,,58,40,56,,,,,,,,,,,,
SANJOSE.C,20001116,1600,0,,58,47,58,,,,,,,,,,,,
SANJOSE.C,20001117,1600,0,,60,37,59,,,,,,,,,,,,
SANJOSE.C,20001118,2359,0,,64,35,,,,,,,,,,,,,
SANJOSE.C,20001119,1600,0,,62,37,60,,,,,,,,,,,,
SANJOSE.C,20001120,1600,0,,64,36,60,,,,,,,,,,,,
SANJOSE.C,20001121,1600,0.09,,61,43,55,,,,,,,,,,,,
SANJOSE.C,20001122,1600,0.03,,57,48,56,,,,,,,,,,,,
SANJOSE.C,20001123,2359,0,,56,42,,,,,,,,,,,,,
SANJOSE.C,20001124,2359,0,,58,43,,,,,,,,,,,,,
SANJOSE.C,20001125,2359,0,,58,38,,,,,,,,,,,,,
SANJOSE.C,20001126,1600,0.01,,57,40,56,,,,,,,,,,,,
SANJOSE.C,20001127,1600,0,,63,43,58,,,,,,,,,,,,
SANJOSE.C,20001128,1600,0,,59,45,59,,,,,,,,,,,,
SANJOSE.C,20001129,1600,0.2,,62,47,59,,,,,,,,,,,,
SANJOSE.C,20001130,1600,0,,59,42,57,,,,,,,,,,,,
SANJOSE.C,20001201,1600,0,,58,42,58,,,,,,,,,,,,
SANJOSE.C,20001202,1600,0,,61,33,61,,,,,,,,,,,,
SANJOSE.C,20001203,1600,0,,61,39,57,,,,,,,,,,,,
SANJOSE.C,20001204,1600,0,,63,42,61,,,,,,,,,,,,
SANJOSE.C,20001205,1600,0,,63,44,60,,,,,,,,,,,,
SANJOSE.C,20001206,1600,0,,60,43,58,,,,,,,,,,,,
SANJOSE.C,20001207,1600,0,,64,51,63,,,,,,,,,,,,
SANJOSE.C,20001208,1600,0.02,,64,51,62,,,,,,,,,,,,
SANJOSE.C,20001209,1600,0,,62,50,58,,,,,,,,,,,,
SANJOSE.C,20001210,1600,0.02,,58,53,56,,,,,,,,,,,,
SANJOSE.C,20001211,1600,0,,57,48,55,,,,,,,,,,,,
SANJOSE.C,20001212,1600,0.2,,56,47,55,,,,,,,,,,,,
SANJOSE.C,20001213,1600,0,,57,45,57,,,,,,,,,,,,
SANJOSE.C,20001214,1600,0.05,,60,52,59,,,,,,,,,,,,
SANJOSE.C,20001215,1600,0.02,,61,53,60,,,,,,,,,,,,
SANJOSE.C,20001216,1600,0,,64,46,62,,,,,,,,,,,,
SANJOSE.C,20001217,1600,0,,63,42,62,,,,,,,,,,,,
SANJOSE.C,20001218,1600,0,,62,40,61,,,,,,,,,,,,
SANJOSE.C,20001219,2359,0,,64,36,,,,,,,,,,,,,
SANJOSE.C,20001220,2359,0,,63,39,62,,,,,,,,,,,,
SANJOSE.C,20001221,1600,0,,62,40,61,,,,,,,,,,,,
SANJOSE.C,20001222,1600,0,,61,45,57,,,,,,,,,,,,
SANJOSE.C,20001223,1600,0,,57,40,55,,,,,,,,,,,,
SANJOSE.C,20001224,2359,0,,59,40,,,,,,,,,,,,,
SANJOSE.C,20001225,1600,0,,62,41,60,,,,,,,,,,,,
SANJOSE.C,20001226,2359,0,,65,34,,,,,,,,,,,,,
SANJOSE.C,20001227,2359,0,,67,34,,,,,,,,,,,,,
SANJOSE.C,20001228,2359,0,,65,34,,,,,,,,,,,,,
SANJOSE.C,20001229,2359,0,,60,34,,,,,,,,,,,,,
SANJOSE.C,20001230,1600,0,,63,35,56,,,,,,,,,,,,
SANJOSE.C,20001231,1600,0,,56,43,54,,,,,,,,,,,,
SANJOSE.C,20010101,1600,0,,62,38,61,,,,,,,,,,,,
SANJOSE.C,20010102,2359,0,,70,34,,,,,,,,,,,,,
SANJOSE.C,20010103,1600,0,,65,37,62,,,,,,,,,,,,
SANJOSE.C,20010104,1600,0,,65,37,64,,,,,,,,,,,,
