,LONGITUDE,LATITUDE,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs,hour,Accident
2783,-121.82621670000002,37.3500848,30,2800.0,7.0,1500.0,32.5,0,28.0,0.0,78,54,66.0,14.0,0
2784,-122.0322699,37.30607075,35,5650.0,18.0,15700.0,40.0,0,36.5,0.02,73,51,62.0,17.0,1
2785,-121.9760921,37.4261842,25,330.0,1.0,5100.0,24.0,0,21.0,0.03,73,53,63.0,2.0,0
2786,-121.7993682,37.29886732,35,3600.0,46.0,22900.0,39.0,0,34.0,0.12,58,43,50.5,22.0,1
2787,-121.8903011,37.2593936,30,5400.0,9.0,3850.0,34.5,0,31.0,0.0,81,56,68.5,14.0,0
2788,-121.8229317,37.27159320000001,30,3100.0,6.0,1700.0,35.5,1,30.0,0.03,69,47,58.0,22.0,0
2789,-121.8990491,37.2960178,25,1900.0,18.0,8000.0,31.0,0,25.0,0.0,81,56,68.5,5.0,0
2790,-121.867204,37.2148343,25,4630.0,1.0,1400.0,29.0,0,28.0,0.17,63,46,54.5,5.0,0
2791,-121.8452173,37.30542796,30,3900.0,23.0,6250.0,32.5,0,29.5,0.0,78,54,66.0,0.0,1
2792,-121.9005684,37.324645,35,2700.0,10.0,12050.0,32.7,0,29.3,0.01,76,54,65.0,18.0,0
2793,-121.86882479999998,37.31138170000001,25,4830.0,19.0,7950.0,29.5,0,26.5,0.12,62,44,53.0,11.0,0
2794,-121.791719,37.31402070000001,40,10990.0,71.0,25800.0,43.7,0,39.3,0.04,58,42,50.0,23.0,0
2795,-121.9036358,37.2363591,40,9000.0,22.0,23600.0,44.3,0,40.3,0.05,59,41,50.0,1.0,0
2796,-121.9500432,37.3173025,35,1990.0,9.0,6100.0,37.0,0,34.0,0.02,82,57,69.5,11.0,0
2797,-121.89352240000002,37.3322979,30,4300.0,22.0,13100.0,33.5,0,29.0,0.08,63,48,55.5,17.0,0
2798,-121.8172926,37.24107777,35,7730.0,17.0,3900.0,37.3,0,33.7,0.07,61,44,52.5,14.0,1
2799,-121.8588003,37.25028029999999,40,2160.0,60.0,46750.0,41.0,0,37.0,0.04,76,53,64.5,15.0,0
2800,-121.8611533,37.3285571,25,4000.0,39.0,5000.0,35.0,1,25.0,0.06,71,48,59.5,20.0,0
2801,-121.7669875,37.3273564,35,2900.0,0.0,1150.0,39.0,0,35.0,0.0,84,60,72.0,10.0,0
2802,-121.8768469,37.23924969999999,25,4224.0,6.0,1100.0,31.0,1,25.0,0.02,61,43,52.0,0.0,0
2803,-121.86330890000002,37.2050849,25,3860.0,2.0,900.0,29.0,0,26.0,0.1,61,44,52.5,1.0,0
2804,-121.8395005,37.3278842,25,1850.0,6.0,4250.0,28.0,0,24.5,0.17,63,47,55.0,15.0,0
2805,-121.8265461,37.3514071,35,5400.0,117.0,21700.0,37.0,0,34.0,0.0,82,57,69.5,1.0,0
2806,-121.8121764,37.3608789,30,3650.0,5.0,4800.0,33.0,0,30.0,0.0,82,60,71.0,1.0,0
2807,-121.9041535,37.22756503,40,10750.0,27.0,9900.0,43.0,0,39.3,0.07,63,45,54.0,21.0,1
2808,-121.8653994,37.31865450000001,30,14750.0,156.0,12950.0,33.7,0,30.0,0.05,69,47,58.0,8.0,0
2809,-121.8793215,37.3606414,25,750.0,186.0,1240.0,32.0,1,25.0,0.08,66,48,57.0,10.0,0
2810,-121.8877608,37.3550112,30,3800.0,35.0,10900.0,33.5,0,29.5,0.0,79,58,68.5,17.0,0
2811,-121.8290107,37.27245836,35,1925.0,9.0,8700.0,39.0,0,34.0,0.06,75,55,65.0,23.0,1
2812,-121.8234115,37.2796048,30,4700.0,23.0,3100.0,32.0,0,28.0,0.03,72,51,61.5,16.0,0
2813,-121.8739225,37.35000820000001,25,4980.0,7.0,4500.0,29.5,0,28.0,0.02,75,53,64.0,23.0,0
2814,-121.8977956,37.40410470000001,40,4540.0,26.0,21150.0,42.0,0,38.5,0.06,59,41,50.0,13.0,0
2815,-121.9036358,37.2363591,40,17150.0,125.0,29150.0,44.8,0,40.4,0.14,66,47,56.5,9.0,0
2816,-121.86550359999998,37.3911732,35,6150.0,30.0,8400.0,38.5,0,35.0,0.0,81,56,68.5,23.0,0
2817,-121.9038604,37.33191070000001,35,11100.0,71.0,26300.0,37.8,0,33.8,0.06,67,48,57.5,15.0,0
2818,-121.81954509999998,37.3924949,15,6330.0,6.0,600.0,22.0,0,15.0,0.0,83,58,70.5,2.0,0
2819,-121.83040049999998,37.227804,35,3300.0,4.0,3850.0,39.0,0,35.0,0.0,83,59,71.0,6.0,0
2820,-121.8764908,37.33649539,30,14650.0,183.0,25700.0,34.3,0,30.5,0.0,80,58,69.0,12.0,1
