,Unnamed: 0,LONGITUDE,LATITUDE,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs,year,month,day,hour,Accident
608,940,37.3652228,-121.91699299999999,35,2200.0,8.0,10400.0,38.0,0,33.0,0.0,83,56,69.5,2015.0,9.0,20.0,6.0,0
609,986,37.2229777,-121.78500190000001,25,3500.0,11.0,3100.0,30.0,0,26.0,0.0,83,58,70.5,2017.0,7.0,9.0,23.0,0
610,1210,37.332954799999996,-121.8676652,25,800.0,12.0,5100.0,34.0,1,25.0,0.0,82,58,70.0,2014.0,8.0,23.0,18.0,0
611,148,-121.74057549999999,37.2175236,45,14200.0,170.0,31100.0,49.7,0,43.7,0.08,60,43,51.5,2013.0,11.0,28.0,0.0,1
612,982,37.3009534,-121.98173870000001,35,9300.0,20.0,11050.0,39.0,0,35.0,0.1,60,43,51.5,2014.0,1.0,18.0,12.0,0
613,362,-121.8465874,37.2658688,35,3350.0,24.0,8250.0,40.0,0,35.0,0.0,81,57,69.0,2015.0,6.0,19.0,4.0,1
614,103,-121.8181535,37.32762014,35,4082.0,80.0,17100.0,39.5,0,35.5,0.0,84,60,72.0,2013.0,8.0,7.0,12.0,1
615,792,-121.83322720000001,37.29342558,40,15150.0,187.0,23450.0,42.8,0,38.5,0.0,81,59,70.0,2017.0,8.0,30.0,6.0,1
616,1191,37.2805049,-121.8887318,25,6400.0,1.0,1850.0,29.8,0,26.8,0.01,83,57,70.0,2017.0,9.0,8.0,6.0,0
617,1076,37.38276810000001,-121.92518030000001,35,1560.0,1.0,3200.0,37.0,0,32.0,0.02,70,49,59.5,2014.0,4.0,15.0,1.0,0
618,1223,37.3190223,-121.87906869999999,25,550.0,5.0,9850.0,29.0,0,27.0,0.05,73,53,63.0,2013.0,10.0,23.0,1.0,0
619,978,37.2094179,-121.8461818,35,2800.0,8.0,3850.0,39.0,0,35.0,0.0,83,58,70.5,2017.0,7.0,11.0,22.0,0
620,357,-121.76323899999998,37.22207853,45,5300.0,13.0,11650.0,48.3,0,43.7,0.01,78,54,66.0,2015.0,6.0,8.0,6.0,1
621,55,-121.9975387,37.29241445,35,5100.0,35.0,17650.0,39.0,0,36.0,0.05,68,50,59.0,2013.0,4.0,17.0,2.0,1
622,363,-121.8387007,37.36578133,35,3054.0,30.0,29000.0,41.0,0,36.0,0.0,81,56,68.5,2015.0,6.0,20.0,19.0,1
623,926,37.279762299999994,-121.67803629999999,40,3500.0,8.0,14100.0,44.0,0,40.0,0.0,83,58,70.5,2016.0,9.0,7.0,12.0,0
624,199,-121.8263611,37.38107651,35,8200.0,197.0,17650.0,36.3,0,32.5,0.0,73,50,61.5,2014.0,4.0,26.0,15.0,1
625,257,-121.9849607,37.308594799999995,35,12800.0,45.0,7300.0,39.3,0,35.7,0.03,77,53,65.0,2014.0,10.0,10.0,23.0,1
626,1159,37.29443610000001,-121.9136179,35,2700.0,24.0,14550.0,38.0,0,35.0,0.0,82,59,70.5,2013.0,8.0,14.0,12.0,0
627,1309,37.3415549,-121.8917494,25,6800.0,83.0,7650.0,30.5,0,26.5,0.04,69,49,59.0,2015.0,3.0,19.0,17.0,0
628,315,-121.9046742,37.26794904,35,4950.0,36.0,15700.0,39.0,0,35.5,0.04,65,46,55.5,2015.0,2.0,28.0,3.0,1
629,759,-121.85905349999999,37.3511407,35,3054.0,30.0,29000.0,41.0,0,36.0,0.0,81,57,69.0,2017.0,6.0,23.0,19.0,1
630,1334,37.251385299999995,-121.83075840000001,40,10500.0,97.0,22100.0,44.0,0,40.3,0.02,75,52,63.5,2015.0,10.0,15.0,3.0,0
631,1011,37.228898,-121.7804165,50,13100.0,14.0,4450.0,54.3,0,49.3,0.0,83,58,70.5,2013.0,9.0,7.0,11.0,0
632,1156,37.3398608,-121.89530309999999,25,1300.0,199.0,7600.0,31.0,0,25.0,0.02,61,43,52.0,2013.0,2.0,1.0,9.0,0
633,865,37.3991008,-121.9398465,35,7600.0,8.0,6500.0,38.0,0,32.7,0.0,83,57,70.0,2016.0,7.0,7.0,6.0,0
634,1024,37.24318870000001,-121.88953049999999,35,5200.0,17.0,21000.0,37.7,0,33.7,0.12,57,41,49.0,2017.0,12.0,27.0,23.0,0
635,764,-121.8991365,37.33212414,25,2700.0,4.0,1200.0,27.5,0,24.0,0.0,83,57,70.0,2017.0,7.0,4.0,21.0,1
636,1299,37.323068400000004,-122.00338799999999,40,9750.0,86.0,28200.0,41.0,0,36.7,0.09,66,47,56.5,2015.0,3.0,25.0,13.0,0
